name,address,type,lat,lon
Recycling Bins at Public Place,Tai Wong Ha Resite Village RCP,Basic,22.35273,114.1011
Recycling Bins at Public Place,"Kau Wah Keng Sun Chuen Refuse Collection Point at Kau Wa Keng San Tsuen, Lai King Hill Road, Kwai Chung, N.T.",Basic,22.344277,114.135619
Recycling Bins at Public Place,"Cheung Hang Village (Pump Station) Refuse Collection Point (KwT-23) at Near Pump Station, Cheung Hang Village",Basic,22.346372,114.14049
Recycling Bins at Public Place,"Fung Shue Wo Resite Village Refuse Collection Point at Tsing Yu Street , Tsing Yi",Basic,22.354849,114.100855
Recycling Bins at Public Place,"Kau Wah Keng Old Tsuen, Lai King Hill Road",Basic,22.34385,114.13716
Recycling Bins at Public Place,"Pavement of Shun Tat Street (outside No. 750, Shun Fung Wai)",Basic,22.424648,113.99108
Recycling Bins at Public Place,At side of Bin site at Tong Hang Road (opposite to Ming Wong Garden),Basic,22.413141,113.969319
Recycling Bins at Public Place,Cul-de-sac of Yeung King Road (near parking space (opposite to the fiberglass refuse collection point)),Basic,22.395287,113.962854
Recycling Bins at Public Place,Ka Choi Lane RCP,Basic,22.369642,113.997542
Recycling Bins at Public Place,Public Light Bus Terminus at So Kwun Wat (near Lee Uk Tsuen),Basic,22.37692,114.00735
Recycling Bins at Public Place,At side of Tsing Yi Street RCP (near Castle Peak Villa),Basic,22.365304,114.006028
Recycling Bins at Public Place,Tsing Chuen Wai (1),Basic,22.42249,113.98296
Recycling Bins at Public Place,Lung Kwu Tan Seashore (near Lung Kwu Tan Village Management Office),Basic,22.390652,113.920099
Recycling Bins at Public Place,"Near Staircase Area, Yip Wang Road",Basic,22.391245,113.968072
Recycling Bins at Public Place,Pavement at side of Chung Uk Tsuen Refuse Collection Point (TM-33),Basic,22.428936,113.991925
Recycling Bins at Public Place,"Entrance of Siu Hang Tsuen RCP, Tuen Mun",Basic,22.413979,113.971701
Recycling Bins at Public Place,"near entrance of Lo Tsing Shan Tsuen at So Kwun Wat Road, Tuen Mun",Basic,22.375684,113.999681
Recycling Bins at Public Place,"At side of Kar Wo Lei Tsuen RCP(TM-47), Castle Peak Road, Tuen Mun, N.T.",Basic,22.370089,113.995358
Recycling Bins at Public Place,Fuk Hang Tsuen Refuse Collection Point (TM-17) at Fuk Hang Tsuen near Fuk Yam School,Basic,22.41809,113.993041
Recycling Bins at Public Place,Fuk Hang Tsuen Road (near Village Office) Refuse Collection Point (TM-18) at Fuk Hang Tsuen Road near Village Office,Basic,22.416831,113.988959
Recycling Bins at Public Place,"Castle Peak Road Lam Tei Refuse Collection Point (TM-19) at Lam Tei Bus Stop, Castle Peak Road",Basic,22.418405,113.982521
Recycling Bins at Public Place,To Yuen Wai Refuse Collection Point (TM-20) at To Yuen Wai,Basic,22.413865,113.981593
Recycling Bins at Public Place,"Castle Peak Road Po Yuen Refuse Collection Point (TM-23) at Po Yuen, Castle Peak Road",Basic,22.426875,113.989227
Recycling Bins at Public Place,Kei Lun Wai Refuse Collection Point (TM-24) at Kei Lun Wai,Basic,22.411515,113.976269
Recycling Bins at Public Place,"Tsing Shan Tsuen Hing Choi Street Refuse Collection Point (TM-26) at Tsing Shan Tsuen, Hing Choi Street",Basic,22.392358,113.966077
Recycling Bins at Public Place,Tsing Chuen Wai (2),Basic,22.42254,113.98307
Recycling Bins at Public Place,Sun Fung Wai Refuse Collection Point (TM-30) at Sun Fung Wai,Basic,22.425447,113.988551
Recycling Bins at Public Place,"Underneath footbridge at Castle Peak Road, Hung Shui Kiu near bus stop",Basic,22.424044,113.987194
Recycling Bins at Public Place,Chung Wong Toi Refuse Collection Poinit (TM-38) at Chung Wong Toi,Basic,22.405149,113.985813
Recycling Bins at Public Place,"Wong Ka Wai Refuse Collection Point (TM-39) at Wong Ka Wai, Area 36B",Basic,22.400341,113.979716
Recycling Bins at Public Place,So Kwun Wat (near So Kwun Wat Primary School) Refuse Collection Point (TM-45) at So Kwun Wat near So Kwun Wat Primary School,Basic,22.376481,114.004153
Recycling Bins at Public Place,"Tai Lam Chung On Lok Tsuen Refuse Collection Point (TM-52) at On Lok Tsuen, Tai Lam Chung",Basic,22.362799,114.021343
Recycling Bins at Public Place,Wong Uk Tsuen Refuse Collection Point (TM-54) at Wong Uk Tsuen,Basic,22.364002,114.022571
Recycling Bins at Public Place,Tin Sum San Tsuen RCP (TM-75),Basic,22.431293,113.992412
Recycling Bins at Public Place,Tsz Tin Tsuen (at side of playground) Refuse Collection Point (TM-59) at Tsz Tin Tsuen at side of playground,Basic,22.415973,113.975109
Recycling Bins at Public Place,Lung Kwu Tan Tsuen Bus Stop Refuse Collection Point (TM-80) at Lung Kwu Tan Tsuen Bus Stop ,Basic,22.386547,113.921042
Recycling Bins at Public Place,Kwong Tin Street Refuse Collection Point at Kwong Tin Street ,Basic,22.42712,113.993234
Recycling Bins at Public Place,Junction of Tai Tong Road and Ma Tong Road,Basic,22.440619,114.029545
Recycling Bins at Public Place,Open space opposite to Kam Tin Market Public Toilet,Basic,22.440325,114.065571
Recycling Bins at Public Place,At side of Lau Fau Shan Roundabout Public Toilet,Basic,22.466512,113.983916
Recycling Bins at Public Place,At side of Tai San Wai RCP (YL-143),Basic,22.470864,114.04432
Recycling Bins at Public Place,At side of Ping Shan San Tsuen RCP,Basic,22.441996,114.007851
Recycling Bins at Public Place,Pin Hong Lane near oil station,Basic,22.440452,114.011362
Recycling Bins at Public Place,"Open Space near entrance road of Kiu Tau Wai, Ping Shan, Yuen Long",Basic,22.442266,114.004744
Recycling Bins at Public Place,"Open Space in front of Village Office, San Wai Tsuen, San Tin, Yuen Long",Basic,22.472231,114.056249
Recycling Bins at Public Place,Sik Kong Tsuen Public Toilet,Basic,22.450057,113.993419
Recycling Bins at Public Place,At side of Tze Tong Tsuen RCP (YL-165),Basic,22.43834,114.06484
Recycling Bins at Public Place,"Shek Po Road RCP near aqua privy, Hung Shui Kiu (YL-97)",Basic,22.437639,113.994903
Recycling Bins at Public Place,"Ha Yau Tin Tsuen RCP , Yau Tin West Road, Shap Pat Heung (YL-7)",Basic,22.439027,114.037931
Recycling Bins at Public Place,"Vicinity of pavilion at side of Bus Stop K66, Wong Nai Tun Tsuen, Yuen Long ",Basic,22.416194,114.021895
Recycling Bins at Public Place,"RCP at Nam Bin Wai (YL-213), Yuen Long",Basic,22.44752,114.03407
Recycling Bins at Public Place,At side of San Wai (Ha Tsuen) RCP (YL－128),Basic,22.450595,113.9906
Recycling Bins at Public Place,"Yeung Hau Temple, Ping Shan",Basic,22.446026,114.007914
Recycling Bins at Public Place,"RCP YL-94, Tong Fong Tsuen, Ping Shan",Basic,22.443885,114.006697
Recycling Bins at Public Place,"RCP YL-114, Tan Kwai Yuen",Basic,22.428623,113.996446
Recycling Bins at Public Place,"Outside San Sang Tsuen Public Toilet, Yuen Long",Basic,22.439373,113.991597
Recycling Bins at Public Place,At side of Wong Uk Tsuen RCP (YL-11),Basic,22.446389,114.039444
Recycling Bins at Public Place,At side of Tai Tong Tsuen (roundabout) RCP (YL-8),Basic,22.41805,114.02545
Recycling Bins at Public Place,At side of Tin Lui Tsuen RCP (YL-20),Basic,22.43243,114.02418
Recycling Bins at Public Place,"At side of Shui Chiu San Tsuen inside RCP (YL-38), Shap Pak Heung",Basic,22.425633,114.027442
Recycling Bins at Public Place,"At side of Notice Board near Tai Shui Ha Public Toilet (YL-24), Tai Shui Ha Road East",Basic,22.42916,114.03388
Recycling Bins at Public Place,At side of Fung Chi Tsuen RCP,Basic,22.447797,114.020611
Recycling Bins at Public Place,"Kam Sheung Road RCP (YL-57), Pat Heung",Basic,22.42845,114.0844
Recycling Bins at Public Place,"Kam Sheung Road, at side of Wing Hing Wai bin site, Pat Heung",Basic,22.43008,114.09412
Recycling Bins at Public Place,Tai Shu Ha Road East behind Lamp post FB0599,Basic,22.42565,114.03745
Recycling Bins at Public Place,"Kam Tin Hang Tau Bar RCP (YL-19) at Hang Tau Bar, Kam Tin",Basic,22.423912,114.076908
Recycling Bins at Public Place,Shui Chiu Lo Wai RCP (YL-22) at Shui Chiu Lo Wai,Basic,22.42541,114.03164
Recycling Bins at Public Place,"Nam Hang Pai RCP 2 (YL-26) at Nam Hang Pai RCP 2, outside Tai Tong Garden",Basic,22.422779,114.031237
Recycling Bins at Public Place,Shui Chiu San Tsuen RCP (YL-27),Basic,22.422266,114.02863
Recycling Bins at Public Place,Shui Tau Tsuen RCP 2 (YL-28) at Shui Tau Tsuen RCP 2,Basic,22.445774,114.062692
Recycling Bins at Public Place,Lui Kung Tin RCP (YL-31) at Lui Kung Tin,Basic,22.426925,114.104813
Recycling Bins at Public Place,"Tin Lui Tsuen RCP (YL-32) at Tin Lui Tsuen, Tai Tong Road",Basic,22.43157,114.02853
