name,address,type,lat,lon
GREEN@EASTERN,"30 Oi Shun Road, Shau Kei Wan",Premium,22.2811711759,114.2242716033
GREEN@ISLANDS,"1 Chung Mun Road, Tung Chung, Lantau",Premium,22.2784361507,113.9324329317
GREEN@KWAI TSING,"12 Tam Kon Shan Road, Tsing Yi",Premium,22.3613830944,114.0962314334
GREEN@SHAM SHUI PO,"339 Tung Chau Street, Sham Shui Po",Premium,22.3298325213,114.1557013784
GREEN@SHA TIN,"10 On Ping Street, Shek Mun",Premium,22.3925572524,114.2090005172
GREEN@TAI PO,"25 Dai Wah Street, Tai Po",Premium,22.4589509041,114.1801093113
GREEN@WAN CHAI,"6 Wan Shing Street, Wan Chai",Premium,22.2822103178,114.179171928
GREEN@TUEN MUN,"9 Tuen Yee Street, Tuen Mun",Premium,22.383541405,113.9683021577
GREEN@KWUN TONG,"27 Sheung Yee Road, Kowloon Bay",Premium,22.3201660263,114.2076515639
GREEN@YUEN LONG,"65 Tin Wah Road, Tin Shui Wai",Premium,22.4630050962,114.0090610769
GREEN@SAI KUNG,"3 Po Lam Lane, near Po Hong Road and Po Lam Road North, Tseung Kwan O",Premium,22.3258463704,114.2511129484
GREEN@WONG TAI SIN,"Po Kong Village Road, Wong Tai Sin",Premium,22.34634855,114.2039136455
