name,district,lat,lon,flats,population
Tak Long Estate,Kowloon City,22.330105,114.2031,8200,22140
Kai Ching Estate,Kowloon City,22.33254,114.20292,5200,14040
Choi Fook Estate,Kwun Tong,22.328026,114.21717,4500,12150
Ching Ho Estate,North,22.49311,114.12577,7200,19440
Hin Yiu Estate,Sha Tin,22.36692,114.17457,800,2160
Mei Tin Estate,Sha Tin,22.37569,114.17018,6700,18090
Cheung Ching Estate,Kwai Tsing,22.34968,114.10681,6400,17280
Fu Shan Estate,Wong Tai Sin,22.34274,114.20913,2300,6210
Tai Hang Tung Estate,Sham Shui Po,22.33268,114.17167,2100,5670
Choi Tak Estate,Kwun Tong,22.3301,114.21279,5800,15660
Lei Muk Shue (1) Estate,Tsuen Wan,22.37706,114.13539,2300,6210
Lei Muk Shue (2) Estate,Tsuen Wan,22.37851,114.13444,4300,11610
Lei Muk Shue Estate,Tsuen Wan,22.37906,114.13627,3900,10530
Ka Fuk Estate,North,22.49267,114.13489,2000,5400
Upper Ngau Tau Kok Estate,Kwun Tong,22.31868,114.21725,6700,18090
Yue Wan Estate,Eastern,22.26582,114.242,3000,8100
Fu Tung Estate,Islands,22.28692,113.94148,1700,4590
Nga Ning Court,Islands,22.20359,114.02734,400,1080
Kam Peng Estate,Islands,22.28714,114.03718,300,810
Yat Tung (1) Estate,Islands,22.28055,113.93639,5600,15120
Yat Tung (2) Estate,Islands,22.28247,113.93458,6400,17280
Cheung Fat Estate,Kwai Tsing,22.36314,114.10348,0,0
Lower Ngau Tau Kok Estate,Kwun Tong,22.321114,114.21527,4800,12960
Wang Tau Hom Estate,Wong Tai Sin,22.3409,114.18601,5900,15930
Cheung Hang Estate,Kwai Tsing,22.35723,114.0983,4400,11880
Cheung On Estate,Kwai Tsing,22.35992,114.10435,0,0
Yau Lai Estate,Kwun Tong,22.30194,114.23627,9000,24300
Ap Lei Chau Estate,Southern,22.24443,114.15216,4500,12150
Lei Tung Estate,Southern,22.24077,114.15697,0,0
Fuk Loi Estate,Tsuen Wan,22.37442,114.11204,3100,8370
Wu King Estate,Tuen Mun,22.37652,113.96507,4400,11880
Lam Tin Estate,Kwun Tong,22.31041,114.23588,3000,8100
Mei Tung Estate,Wong Tai Sin,22.33314,114.19014,1800,4860
Hing Wah (1) Estate,Eastern,22.26217,114.23554,2300,6210
Cheung Kwai Estate,Islands,22.21394,114.02526,500,1350
Hing Wah (2) Estate,Eastern,22.26236,114.23359,3600,9720
Hong Tung Estate,Eastern,22.28436,114.22232,500,1350
Model Housing Estate,Eastern,22.29103,114.20824,700,1890
Oi Tung Estate,Eastern,22.28173,114.22737,3900,10530
Siu Sai Wan Estate,Eastern,22.26133,114.24849,6100,16470
Tsui Lok Estate,Eastern,22.26748,114.24037,300,810
Tsui Wan Estate,Eastern,22.26825,114.24061,0,0
Wan Tsui Estate,Eastern,22.26278,114.2392,3700,9990
Yiu Tung Estate,Eastern,22.27812,114.2252,5200,14040
Sun Chui Estate,Sha Tin,22.36916,114.18233,6600,17820
Sun Tin Wai Estate,Sha Tin,22.37049,114.18734,3400,9180
