region,number_of_people_working_in_region,number_of_students_age_17_22_estimated,number_of_elderly_age_65_plus,number_of_domestic_households
Central and Western,132881,10067,45491,88922
Wan Chai,92238,5944,35379,63128
Eastern,266089,21802,123707,188706
Southern,134977,11305,56808,86479
Yau Tsim Mong,162705,13934,55568,123707
Sham Shui Po,204073,21286,87935,165439
Kowloon City,203964,18668,82458,147023
Wong Tai Sin,192614,20078,93411,147085
Kwun Tong,312937,36193,147741,247592
Kwai Tsing,234425,25484,109466,176604
Tsuen Wan,163147,14709,58046,114009
Tuen Mun,247419,23121,97955,187202
Yuen Long,332587,35393,100366,234338
North,146416,16592,55557,111433
Tai Po,157836,13919,58502,110747
Sha Tin,340605,32218,138485,246425
Sai Kung,262126,23846,77273,167771
Islands,93368,10085,27296,67104
